# Manfred数据集模型美学分数（pre_rendered_3.pt）
# 格式：模型索引	美学分数（-1~1，越高越美观）
============================================================
427	0.246228
428	0.200079
429	0.206558
430	0.683354
431	0.430702
432	0.391065
433	0.616636
434	0.317284
435	0.353875
436	0.177774
437	0.423477
438	0.376142
439	0.243288
440	0.669888
441	0.144052
442	0.459553
443	0.264611
444	0.609614
445	0.325284
446	0.308994
447	0.273572
448	0.218753
449	0.196769
450	0.777727
451	0.391825
452	0.501925
453	0.856409
454	0.267218
455	0.180618
456	0.315302
457	0.118202
458	0.837255
459	0.198624
460	0.702055
461	0.577939
462	0.333323
463	0.579879
464	0.429278
465	0.283158
466	0.841123
467	0.338737
468	0.316048
469	0.723035
470	-0.019619
471	0.226014
472	-0.119152
473	0.853727
474	0.711578
475	0.396484
476	-0.100013
477	0.327481
478	-0.741397
